Texto,Sentimento
este trabalho e agradável,alegria
gosto de ficar no seu aconchego,alegria
fiz a adesão ao curso hoje porque eu gostei,alegria
eu sou admirada por muitos,alegria
adoro como você e,alegria
adoro seu cabelo macio,alegria
adoro a cor dos seus olhos,alegria
somos tão amáveis um com o outro,alegria
sinto uma grande afeição por ele,alegria
quero agradar meus filhos,alegria
me sinto completamente amado,alegria
eu amo você,alegria
que grande alivio,alegria
feliz ano novo,alegria
a dor esta amenizando finalmente,alegria
acho que me apaixonei,alegria
amar e maravilhoso,alegria
estou me sentindo muito animada,alegria
me sinto muito bem hoje,alegria
como o luar e belo,alegria
o dia esta muito bonito,alegria
nossa como sou afortunado,alegria
as maravilhas do mundo,alegria
recebi muito carinho hoje do meus colegas,alegria
estou me sentindo reconfortada hoje,alegria
e muito bom estar com os amigos,alegria
estou muito contente com o resultado dos testes,alegria
essa pintura esta bem brilhante otimo trabalho,alegria
temos água em abundancia,alegria
que roupa delicada,alegria
você e um grande comediante,alegria
que bondade a sua em vir aqui,alegria
o amor e lindo,alegria
nossa amizade vai durar para sempre,alegria
estou eufórica com a noticia,alegria
ele e realmente fiel a mim,alegria
vou dar uma grande festa para comemorar meu aniversário,alegria
graças a deus que eu enxerguei o certo,alegria
essa e a melhor escolhas de todas,alegria
o mais incrível e você minha bela,alegria
e tão engraçado tentar explicar,alegria
e emocionante estar neste lugar,alegria
estou cativada pelo seu olhar,alegria
estou loucamente apaixonada,alegria
eu nunca tive duvidas,alegria
estou rodeada pelo seu abraço,alegria
eu vejo estrelas pelo caminho,alegria
eu sinto o sol sempre que você esta por perto,alegria
eu estou sorrindo de orelha a orelha,alegria
isso vale a pena,alegria
finalmente você colocou meu amor em primeiro lugar,alegria
nós dançamos noite adentro,alegria
seu amor e brilhante,alegria
toquei muitos corações durante o meu caminho,alegria
eu serei sua amiga e companheira,alegria
você me traz de volta a vida,alegria
você e como um sonho doce,alegria
adoro este doce de frutas,alegria
meu suco favorito,alegria
estou agradecida pela ajuda,alegria
e um enorme prazer ter você em nossa equipe,alegria
trabalhar em equipe e o melhor,alegria
me sinto flutuando no ar,alegria
a brisa esta agradável hoje,alegria
ótimo e compatível,alegria
somos compatíveis um com o outro,alegria
o órgão e compatível com o paciente,alegria
estou contente fui aceita na faculdade,alegria
fui aprovada no meu exame,alegria
fui beneficiada pela minha empresa,alegria
eu sou muito cativante,alegria
estou contente com o apoio,alegria
como este lugar e confortável,alegria
e bom estar quente neste frio,alegria
um elogio nunca e demais,alegria
vou te chamar para comemorar,alegria
e desejável a sua presença em nossa apresentação,alegria
sou muito grata a você,alegria
me dedico muito naquilo que faço,alegria
estou completamente apaixonada ,alegria
vamos agitar essa noite ,alegria
você significa muito para mim,alegria
vamos agir sem preconceitos e julgamentos,alegria
"finalmente completei a minha coleção, maravilhoso",alegria
eu sou sua rainha ,alegria
satisfatoriamente eu anuncio o vencedor dos jogos,alegria
você me atrai facilmente ,alegria
aquele rapaz e extremamente atraente,alegria
sinto-me viva ,alegria
sinto-me em paz ,alegria
estamos tendo muito lucro,alegria
muito bem esta tudo em ordem agora ,alegria
podemos arrumar um emprego juntos ,alegria
"a arrumação esta terminada, que alívio",alegria
o câncer e benigno ,alegria
o amor e abundante,alegria
vamos ser caridosos este natal,alegria
com todo esse charme você irá atrair a todos,alegria
nossa como você e charmoso querido ,alegria
sou querida pelos meu amigos,alegria
seja cuidadoso com os meus sentimentos,alegria
estou comovido com tamanha caridade,alegria
um chá quente e reconfortante,alegria
que alegria ter vocês aqui ,alegria
vamos aplaudir o vencedor ,alegria
palmas para a aniversariante,alegria
desejo a você tudo de bom,alegria
hora de apreciar um bom vinho,alegria
aprecio sua presença em minha escola,alegria
anseio por seus próximos trabalhos,alegria
maravilhoso jogo amistoso,alegria
e ótimo que os ânimos tenham se apaziguado,alegria
concretizei finalmente meu sonho,alegria
você e abominável,nojo
"nossa, que vontade de vomitar",nojo
que banheiro porco,nojo
eu caguei nas calcas,nojo
bebi demais e preciso vomitar,nojo
esta saindo pus do ferimento,nojo
ele tem frieria e micose no pe,nojo
"o povo da praia ao lado joga tudo no chao, bando de porco",nojo
abomino a maneira como você age,nojo
estou adoentado,nojo
meu pai esta adoentado,nojo
estamos todos doentes,nojo
essa situação e muito amarga,nojo
disse adeus amargamente,nojo
tenho antipatia por aquela pessoa,nojo
como pode ser tão antipática!,nojo
que horrível seu asqueroso,nojo
tenho aversão agente como você,nojo
isso tudo e só chateação,nojo
estou muito chateada com suas mentiras,nojo
tão desagradável,nojo
isso me desagrada completamente,nojo
te desagrada isso,nojo
estou com enjôos terríveis,nojo
todos estão enfermos,nojo
foi uma enfermidade terrível,nojo
isso e muito grave,nojo
não seja tão grosseiro,nojo
você fez uma manobra ilegal,nojo
"sua indecente, não tem vergonha?",nojo
você e malvado com as crianças,nojo
que comentário maldoso,nojo
sem escrúpulos você manipula a tudo,nojo
sinto repulsa por você,nojo
e repulsivo a maneira como olha para as pessoas,nojo
estou indisposta,nojo
a indisposição me atacou hoje,nojo
acho que vou vomitar,nojo
tem muito vomito lá,nojo
que incomodo essa dor,nojo
não me incomode nunca mais,nojo
suas bobagens estão nos incomodando,nojo
que nojo olha toda essa sujeira,nojo
como isso está sujo,nojo
tenho náuseas só de lembrar,nojo
me sinto nauseada com o cheiro desta comida,nojo
você esta obstruindo a passagem de ar,nojo
você esta terrivelmente doente,nojo
olhe que feia esta roupa,nojo
que atitude deplorável,nojo
nossa como você e feio,nojo
muito mau tudo isso,nojo
estou nojoso com você,nojo
você cortou o meu assunto,nojo
para que tanta chateação?,nojo
esse perfume e enjoativo,nojo
ser perigoso não nada bom,nojo
você e perigoso demais para minha filhas,nojo
que fetido este esgoto,nojo
que fedido você esta,nojo
que cachorro malcheiroso,nojo
hora que ultraje,nojo
e ultrajante da sua parte,nojo
situação desagradável essa,nojo
você só me da nojo,nojo
tenho aversão a pessoas assim,nojo
antipatia e um mal da sociedade,nojo
que criatura abominável,nojo
e depressiva a maneira como você vê o mundo,nojo
me desagrada sua presença na festa,nojo
sinto asco dessa coisa,nojo
que hediondo!,nojo
vou golfar o cafe fora,nojo
hora que garota detestável!,nojo
estou nauseada,nojo
isso que você disse foi muito grave,nojo
não seja obsceno na frente das crianças,nojo
não seja rude com as visitas,nojo
esse assunto me da repulsa,nojo
que criança terrivelmente travessa,nojo
que criança mal educada,nojo
estou indisposta te dar o divorcio,nojo
"tão patetico, não tem nada mais rude para dizer?",nojo
"por motivo torpe, com emprego de meio cruel e com impossibilidade de defesa para a vítima",nojo
a inveja e tão vil e vergonhosa que ninguem se atreve a confessá-la,nojo
o miserável receio de ser sentimental e o mais vil de todos os receios modernos,nojo
travesso gato quando fica com saudades do dono mija no sapato,nojo
isso e um ato detestável e covarde,nojo
revelam apenas o que e destrutivo e detestável para o povo,nojo
"não sei como e a vida de um patife, mais a de um homem honesto e abominável",nojo
há coisas que temos que suportar para não acharmos a vida insuportável,nojo
as injurias do tempo e as injustiças do homem,nojo
odioso e desumano,nojo
"você não publicará conteúdo odiento, pornográfico ou ameaçador",nojo
rancoroso e reprimido,nojo
"não há animal mais degradante, estúpido, covarde, lamentável, egoísta, rancoroso e invejoso do que o homem",nojo
o virulento debate ente políticos,nojo
"eu imploro, não me matem!",medo
tem certeza que não e perigoso?,medo
ele apontou uma arma para minha cabeca,medo
"nao quero perder meu emprego, irei ficar pobre",medo
"engordei dez quilos, nao quero ser gordo",medo
sera que aqui tem fantasma?,medo
eu nao entro no cemiterio nem morto,medo
encosto e esperito exitem,medo
fantasma e do mau,medo
o guima e cagao,medo
fantasma me da medo,medo
"ferrou, o aviao esta caindo e vamos morrer",medo
eu me cago de medo de entrar na favela sozinho,medo
"tenho pavor de parque de diversoes, os brinquedos sao muito altos",medo
"socorro, tem ladroes entrando em casa",medo
uma facada deve doer mais que um tiro,medo
tenho medo de ficar pobre e nao ter seguranca para minha familia,medo
"qual a necessidade dessa violencia, alguem pode se machucar fortemente",medo
"estranho alguem ter medo de chachorro, eles nao sao bravos",medo
"eu nao pulo de para-quedas nem morto, morro de medo",medo
